term,corpus_count,document_frequency,category,rationale
tou,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pua,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eti,5,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ura,5,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
teu,5,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tū,5,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wii,5,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tua,5,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kou,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nio,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eto,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wua,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hoe,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ahi,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ngi,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eiu,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kau,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aha,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uia,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pao,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
inu,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aee,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
meo,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nau,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aho,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ihi,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mie,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kui,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ewe,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
naa,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uoo,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aru,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hie,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iti,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tiu,4,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
imu,4,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hia,4,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iei,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uio,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aoa,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iru,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ngu,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uru,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
weo,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
opi,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eaa,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pau,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kea,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uhi,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mui,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pia,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
awo,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oma,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nue,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oea,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pui,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uai,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hio,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iaa,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iui,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eua,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pae,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iwo,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
rie,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pā,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wā,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
omo,3,3,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iha,3,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
opo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
whu,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nua,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
heu,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oei,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wao,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
upo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iio,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kaa,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aau,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eko,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oku,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uka,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kie,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uoe,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eke,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nii,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mii,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hae,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tuo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
umo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iuu,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
epo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uwo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
opa,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uuu,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tei,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eii,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
owi,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
haa,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eoo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aui,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oho,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iro,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iwa,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nuo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tā,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aao,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aua,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
koe,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ooa,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
noi,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
īto,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āte,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āua,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oha,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kī,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oko,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eka,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
noo,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
apu,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ewa,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nae,2,2,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oie,2,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
meu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eho,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aea,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uho,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iau,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
etu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uea,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ioa,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ipe,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uki,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eue,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eou,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hoo,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
upa,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
owa,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ehi,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eno,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tuu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uoi,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eeo,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
awu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eeu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
riu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uhu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aoe,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ahe,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eki,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oua,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ehu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
rū,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aoi,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oio,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oeo,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wē,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ētā,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
noe,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wiu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
epe,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
omi,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ātā,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hā,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
īhe,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ōna,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pō,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āhi,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ihe,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nāu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aku,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āoa,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ōte,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kō,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wio,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āi,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tī,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ohu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hoa,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ruo,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
epu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wae,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kiu,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aoo,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oia,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
woa,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uke,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oae,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kāi,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kē,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
arā,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
anō,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mō,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tō,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nō,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āui,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pū,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ōpū,1,1,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
